pesan,kategori,label,step_casefolding,step_tokenisasi,step_stopword,step_stemming,teks_bersih
gamau maafin bayi ku merah merah sebadan badan karna kepanasan,Percakapan Biasa,Tidak Berisiko,gamau maafin bayi ku merah merah sebadan badan karna kepanasan,"['gamau', 'maafin', 'bayi', 'ku', 'merah', 'merah', 'sebadan', 'badan', 'karna', 'kepanasan']","['gamau', 'maafin', 'bayi', 'merah', 'merah', 'sebadan', 'badan', 'karna', 'kepanasan']","['gamau', 'maafin', 'bayi', 'merah', 'merah', 'bad', 'badan', 'karna', 'panas']",gamau maafin bayi merah merah bad badan karna panas
habis mati lampu langsung mati air haedehhh blm mandi lagi,Percakapan Biasa,Tidak Berisiko,habis mati lampu langsung mati air haedehhh blm mandi lagi,"['habis', 'mati', 'lampu', 'langsung', 'mati', 'air', 'haedehhh', 'blm', 'mandi', 'lagi']","['habis', 'mati', 'lampu', 'langsung', 'mati', 'air', 'haedehhh', 'blm', 'mandi']","['habis', 'mati', 'lampu', 'langsung', 'mati', 'air', 'haedehhh', 'blm', 'mandi']",habis mati lampu langsung mati air haedehhh blm mandi
gampang..minta ma'af...,Percakapan Biasa,Tidak Berisiko,gampang..minta ma'af...,"['gampang', 'minta', 'ma', 'af']","['gampang', 'minta', 'ma', 'af']","['gampang', 'minta', 'ma', 'af']",gampang minta ma af
mana kopensasi masyarakat,Percakapan Biasa,Tidak Berisiko,mana kopensasi masyarakat,"['mana', 'kopensasi', 'masyarakat']","['mana', 'kopensasi', 'masyarakat']","['mana', 'kopensasi', 'masyarakat']",mana kopensasi masyarakat
cuma minta maaf kerugian perikanan rakyat siapa yg tanggung tuan.,Percakapan Biasa,Tidak Berisiko,cuma minta maaf kerugian perikanan rakyat siapa yg tanggung tuan.,"['cuma', 'minta', 'maaf', 'kerugian', 'perikanan', 'rakyat', 'siapa', 'yg', 'tanggung', 'tuan']","['cuma', 'minta', 'maaf', 'kerugian', 'perikanan', 'rakyat', 'siapa', 'tanggung', 'tuan']","['cuma', 'minta', 'maaf', 'rugi', 'ikan', 'rakyat', 'siapa', 'tanggung', 'tuan']",cuma minta maaf rugi ikan rakyat siapa tanggung tuan
@masyaa @🐬 di maafkan?,Percakapan Biasa,Tidak Berisiko,@masyaa @🐬 di maafkan?,"['masyaa', 'di', 'maafkan']","['masyaa', 'maafkan']","['masyaa', 'maaf']",masyaa maaf
masih ada part 2?,Percakapan Biasa,Tidak Berisiko,masih ada part 2?,"['masih', 'ada', 'part']",['part'],['part'],part
[Stiker] Aman pak,Percakapan Biasa,Tidak Berisiko,[stiker] aman pak,"['stiker', 'aman', 'pak']","['stiker', 'aman', 'pak']","['stiker', 'aman', 'pak']",stiker aman pak
harus di tindak lanjuti jangan lngsung d maafin.,Percakapan Biasa,Tidak Berisiko,harus di tindak lanjuti jangan lngsung d maafin.,"['harus', 'di', 'tindak', 'lanjuti', 'jangan', 'lngsung', 'd', 'maafin']","['tindak', 'lanjuti', 'jangan', 'lngsung', 'maafin']","['tindak', 'lanjut', 'jangan', 'lngsung', 'maafin']",tindak lanjut jangan lngsung maafin
pengalihan isu dollar kah??,Percakapan Biasa,Tidak Berisiko,pengalihan isu dollar kah??,"['pengalihan', 'isu', 'dollar', 'kah']","['pengalihan', 'isu', 'dollar']","['alih', 'isu', 'dollar']",alih isu dollar
maaf aja nih? bulan depan gratis listrik bisa kaliii 🔥,Jadwal & Kegiatan,Tidak Berisiko,maaf aja nih? bulan depan gratis listrik bisa kaliii 🔥,"['maaf', 'aja', 'nih', 'bulan', 'depan', 'gratis', 'listrik', 'bisa', 'kaliii']","['maaf', 'aja', 'bulan', 'depan', 'gratis', 'listrik', 'kaliii']","['maaf', 'aja', 'bulan', 'depan', 'gratis', 'listrik', 'kaliii']",maaf aja bulan depan gratis listrik kaliii
jgn cuma maaf,Percakapan Biasa,Tidak Berisiko,jgn cuma maaf,"['jgn', 'cuma', 'maaf']","['jgn', 'cuma', 'maaf']","['jgn', 'cuma', 'maaf']",jgn cuma maaf
telat byr lampu putus.. giliran gini minta maaf .. enakk x sihh ngmng,Percakapan Biasa,Tidak Berisiko,telat byr lampu putus.. giliran gini minta maaf .. enakk x sihh ngmng,"['telat', 'byr', 'lampu', 'putus', 'giliran', 'gini', 'minta', 'maaf', 'enakk', 'x', 'sihh', 'ngmng']","['telat', 'byr', 'lampu', 'putus', 'giliran', 'gini', 'minta', 'maaf', 'enakk', 'sihh', 'ngmng']","['telat', 'byr', 'lampu', 'putus', 'gilir', 'gin', 'minta', 'maaf', 'enakk', 'sihh', 'ngmng']",telat byr lampu putus gilir gin minta maaf enakk sihh ngmng
bubarkan saja,Percakapan Biasa,Tidak Berisiko,bubarkan saja,"['bubarkan', 'saja']",['bubarkan'],['bubar'],bubar
"PLN gampang ucap minta maaf, giliran pelanggan terlambat bayar listrik langsung diputus , minta maaf tdk diterima",Transaksi Aman,Tidak Berisiko,"pln gampang ucap minta maaf, giliran pelanggan terlambat bayar listrik langsung diputus , minta maaf tdk diterima","['pln', 'gampang', 'ucap', 'minta', 'maaf', 'giliran', 'pelanggan', 'terlambat', 'bayar', 'listrik', 'langsung', 'diputus', 'minta', 'maaf', 'tdk', 'diterima']","['pln', 'gampang', 'ucap', 'minta', 'maaf', 'giliran', 'pelanggan', 'terlambat', 'bayar', 'listrik', 'langsung', 'diputus', 'minta', 'maaf', 'tdk', 'diterima']","['pln', 'gampang', 'ucap', 'minta', 'maaf', 'gilir', 'langgan', 'lambat', 'bayar', 'listrik', 'langsung', 'putus', 'minta', 'maaf', 'tdk', 'terima']",pln gampang ucap minta maaf gilir langgan lambat bayar listrik langsung putus minta maaf tdk terima
ini orng apa ya,Percakapan Biasa,Tidak Berisiko,ini orng apa ya,"['ini', 'orng', 'apa', 'ya']","['orng', 'apa']","['orng', 'apa']",orng apa
mereka yg di barisan klarifikasai ini adalah pejabat2 yg gaji nya miliar an dan bonus miliar an,Percakapan Biasa,Tidak Berisiko,mereka yg di barisan klarifikasai ini adalah pejabat2 yg gaji nya miliar an dan bonus miliar an,"['mereka', 'yg', 'di', 'barisan', 'klarifikasai', 'ini', 'adalah', 'pejabat', 'yg', 'gaji', 'nya', 'miliar', 'an', 'dan', 'bonus', 'miliar', 'an']","['barisan', 'klarifikasai', 'pejabat', 'gaji', 'miliar', 'an', 'bonus', 'miliar', 'an']","['baris', 'klarifikasai', 'jabat', 'gaji', 'miliar', 'an', 'bonus', 'miliar', 'an']",baris klarifikasai jabat gaji miliar an bonus miliar an
woi gara2 mati listrik aq gk ada air 😭 sampe minta ke tetanga 😭😭,Informasi Umum,Tidak Berisiko,woi gara2 mati listrik aq gk ada air 😭 sampe minta ke tetanga 😭😭,"['woi', 'gara', 'mati', 'listrik', 'aq', 'gk', 'ada', 'air', 'sampe', 'minta', 'ke', 'tetanga']","['woi', 'gara', 'mati', 'listrik', 'aq', 'gk', 'air', 'sampe', 'minta', 'tetanga']","['woi', 'gara', 'mati', 'listrik', 'aq', 'gk', 'air', 'sampe', 'minta', 'tetanga']",woi gara mati listrik aq gk air sampe minta tetanga
Bengkulu msh lampun,Percakapan Biasa,Tidak Berisiko,bengkulu msh lampun,"['bengkulu', 'msh', 'lampun']","['bengkulu', 'msh', 'lampun']","['bengkulu', 'msh', 'lam']",bengkulu msh lam
"alasan yg tidak masuk akal,dan sngt tidak adil,hapus saja Pancasila ke lima pak presiden,krna itu hnya logo pemenuh kertas dan mubazir tinta,bukan fakta.",Percakapan Biasa,Tidak Berisiko,"alasan yg tidak masuk akal,dan sngt tidak adil,hapus saja pancasila ke lima pak presiden,krna itu hnya logo pemenuh kertas dan mubazir tinta,bukan fakta.","['alasan', 'yg', 'tidak', 'masuk', 'akal', 'dan', 'sngt', 'tidak', 'adil', 'hapus', 'saja', 'pancasila', 'ke', 'lima', 'pak', 'presiden', 'krna', 'itu', 'hnya', 'logo', 'pemenuh', 'kertas', 'dan', 'mubazir', 'tinta', 'bukan', 'fakta']","['alasan', 'masuk', 'akal', 'sngt', 'adil', 'hapus', 'pancasila', 'lima', 'pak', 'presiden', 'krna', 'hnya', 'logo', 'pemenuh', 'kertas', 'mubazir', 'tinta', 'bukan', 'fakta']","['alas', 'masuk', 'akal', 'sngt', 'adil', 'hapus', 'pancasila', 'lima', 'pak', 'presiden', 'krna', 'hnya', 'logo', 'penuh', 'kertas', 'mubazir', 'tinta', 'bukan', 'fakta']",alas masuk akal sngt adil hapus pancasila lima pak presiden krna hnya logo penuh kertas mubazir tinta bukan fakta
Mls gamau denger uda gk md.,Percakapan Biasa,Tidak Berisiko,mls gamau denger uda gk md.,"['mls', 'gamau', 'denger', 'uda', 'gk', 'md']","['mls', 'gamau', 'denger', 'uda', 'gk', 'md']","['mls', 'gamau', 'denger', 'uda', 'gk', 'md']",mls gamau denger uda gk md
"@PLN pak gunanya minta maaf apa? tolong dong di cari jalan keluar dan solusinya, ini sampai kapan?
kami anak rantau diluar Sumatra bahkan diluar negeri ingin menghubungi keluarga bagaimana jika mati lampu begini??? tolong dong bekerja sigap terimakasih 🙏🙏",Kata Kasar & Ancaman,Berisiko,"@pln pak gunanya minta maaf apa? tolong dong di cari jalan keluar dan solusinya, ini sampai kapan?
kami anak rantau diluar sumatra bahkan diluar negeri ingin menghubungi keluarga bagaimana jika mati lampu begini??? tolong dong bekerja sigap terimakasih 🙏🙏","['pln', 'pak', 'gunanya', 'minta', 'maaf', 'apa', 'tolong', 'dong', 'di', 'cari', 'jalan', 'keluar', 'dan', 'solusinya', 'ini', 'sampai', 'kapan', 'kami', 'anak', 'rantau', 'diluar', 'sumatra', 'bahkan', 'diluar', 'negeri', 'ingin', 'menghubungi', 'keluarga', 'bagaimana', 'jika', 'mati', 'lampu', 'begini', 'tolong', 'dong', 'bekerja', 'sigap', 'terimakasih']","['pln', 'pak', 'gunanya', 'minta', 'maaf', 'apa', 'cari', 'jalan', 'keluar', 'solusinya', 'kapan', 'anak', 'rantau', 'diluar', 'sumatra', 'bahkan', 'diluar', 'negeri', 'menghubungi', 'keluarga', 'bagaimana', 'mati', 'lampu', 'begini', 'bekerja', 'sigap', 'terimakasih']","['pln', 'pak', 'guna', 'minta', 'maaf', 'apa', 'cari', 'jalan', 'keluar', 'solusi', 'kapan', 'anak', 'rantau', 'luar', 'sumatra', 'bahkan', 'luar', 'negeri', 'hubung', 'keluarga', 'bagaimana', 'mati', 'lampu', 'begini', 'kerja', 'sigap', 'terimakasih']",pln pak guna minta maaf apa cari jalan keluar solusi kapan anak rantau luar sumatra bahkan luar negeri hubung keluarga bagaimana mati lampu begini kerja sigap terimakasih
"gara gara pln mati, dan ujung nya sekali ada kabar kami uda putus",Informasi Umum,Tidak Berisiko,"gara gara pln mati, dan ujung nya sekali ada kabar kami uda putus","['gara', 'gara', 'pln', 'mati', 'dan', 'ujung', 'nya', 'sekali', 'ada', 'kabar', 'kami', 'uda', 'putus']","['gara', 'gara', 'pln', 'mati', 'ujung', 'sekali', 'kabar', 'uda', 'putus']","['gara', 'gara', 'pln', 'mati', 'ujung', 'sekali', 'kabar', 'uda', 'putus']",gara gara pln mati ujung sekali kabar uda putus
kesalahan fatal ini tolong dengan segera di tuntaskan. jika tidak tau lah ya kan rakyat negara kita ini.,Percakapan Biasa,Tidak Berisiko,kesalahan fatal ini tolong dengan segera di tuntaskan. jika tidak tau lah ya kan rakyat negara kita ini.,"['kesalahan', 'fatal', 'ini', 'tolong', 'dengan', 'segera', 'di', 'tuntaskan', 'jika', 'tidak', 'tau', 'lah', 'ya', 'kan', 'rakyat', 'negara', 'kita', 'ini']","['kesalahan', 'fatal', 'segera', 'tuntaskan', 'tau', 'kan', 'rakyat', 'negara']","['salah', 'fatal', 'segera', 'tuntas', 'tau', 'kan', 'rakyat', 'negara']",salah fatal segera tuntas tau kan rakyat negara
"kompensasi k pengusahanya mana ,bnyak yg rugi loh",Percakapan Biasa,Tidak Berisiko,"kompensasi k pengusahanya mana ,bnyak yg rugi loh","['kompensasi', 'k', 'pengusahanya', 'mana', 'bnyak', 'yg', 'rugi', 'loh']","['kompensasi', 'pengusahanya', 'mana', 'bnyak', 'rugi', 'loh']","['kompensasi', 'usaha', 'mana', 'bnyak', 'rugi', 'loh']",kompensasi usaha mana bnyak rugi loh
Ntahlah pak. Ganti aja dek pake token heehe,Percakapan Biasa,Tidak Berisiko,ntahlah pak. ganti aja dek pake token heehe,"['ntahlah', 'pak', 'ganti', 'aja', 'dek', 'pake', 'token', 'heehe']","['ntahlah', 'pak', 'ganti', 'aja', 'dek', 'pake', 'token', 'heehe']","['ntahlah', 'pak', 'ganti', 'aja', 'dek', 'pake', 'token', 'heehe']",ntahlah pak ganti aja dek pake token heehe
yaaa jangan sampek 24 jam jugaa paaaaak,Percakapan Biasa,Tidak Berisiko,yaaa jangan sampek 24 jam jugaa paaaaak,"['yaaa', 'jangan', 'sampek', 'jam', 'jugaa', 'paaaaak']","['yaaa', 'jangan', 'sampek', 'jam', 'jugaa', 'paaaaak']","['yaaa', 'jangan', 'sampek', 'jam', 'jugaa', 'paaaaak']",yaaa jangan sampek jam jugaa paaaaak
uda 2 malam tanpa lampu pak ke panasan anak saya,Percakapan Biasa,Tidak Berisiko,uda 2 malam tanpa lampu pak ke panasan anak saya,"['uda', 'malam', 'tanpa', 'lampu', 'pak', 'ke', 'panasan', 'anak', 'saya']","['uda', 'malam', 'lampu', 'pak', 'panasan', 'anak']","['uda', 'malam', 'lampu', 'pak', 'panas', 'anak']",uda malam lampu pak panas anak
MASALAH NYAA MATII PAS GUEE LAGI KERAMASSSS DAN AIR DI EMBER LGI DI ISIII,Percakapan Biasa,Tidak Berisiko,masalah nyaa matii pas guee lagi keramassss dan air di ember lgi di isiii,"['masalah', 'nyaa', 'matii', 'pas', 'guee', 'lagi', 'keramassss', 'dan', 'air', 'di', 'ember', 'lgi', 'di', 'isiii']","['masalah', 'nyaa', 'matii', 'pas', 'guee', 'keramassss', 'air', 'ember', 'lgi', 'isiii']","['masalah', 'nyaa', 'mati', 'pas', 'guee', 'keramassss', 'air', 'ember', 'lgi', 'isiii']",masalah nyaa mati pas guee keramassss air ember lgi isiii
"1001 alasan, intinya rakyat banyak yg sengsara. pecattt yg gak becus kerja. kami 26 jam menderita.",Percakapan Biasa,Tidak Berisiko,"1001 alasan, intinya rakyat banyak yg sengsara. pecattt yg gak becus kerja. kami 26 jam menderita.","['alasan', 'intinya', 'rakyat', 'banyak', 'yg', 'sengsara', 'pecattt', 'yg', 'gak', 'becus', 'kerja', 'kami', 'jam', 'menderita']","['alasan', 'intinya', 'rakyat', 'banyak', 'sengsara', 'pecattt', 'becus', 'kerja', 'jam', 'menderita']","['alas', 'inti', 'rakyat', 'banyak', 'sengsara', 'pecattt', 'becus', 'kerja', 'jam', 'derita']",alas inti rakyat banyak sengsara pecattt becus kerja jam derita
menyala bapak yang ada di kanannya🗿,Percakapan Biasa,Tidak Berisiko,menyala bapak yang ada di kanannya🗿,"['menyala', 'bapak', 'yang', 'ada', 'di', 'kanannya']","['menyala', 'bapak', 'kanannya']","['nyala', 'bapak', 'kanan']",nyala bapak kanan
listrik idup sekarang malah air yg matek? apa PDAM GK minta maaf juga?,Informasi Umum,Tidak Berisiko,listrik idup sekarang malah air yg matek? apa pdam gk minta maaf juga?,"['listrik', 'idup', 'sekarang', 'malah', 'air', 'yg', 'matek', 'apa', 'pdam', 'gk', 'minta', 'maaf', 'juga']","['listrik', 'idup', 'sekarang', 'malah', 'air', 'matek', 'apa', 'pdam', 'gk', 'minta', 'maaf']","['listrik', 'idup', 'sekarang', 'malah', 'air', 'matek', 'apa', 'pdam', 'gk', 'minta', 'maaf']",listrik idup sekarang malah air matek apa pdam gk minta maaf
"gua lagi berak tiba² mati lampu, ini rupanya penyebab nya",Percakapan Biasa,Tidak Berisiko,"gua lagi berak tiba² mati lampu, ini rupanya penyebab nya","['gua', 'lagi', 'berak', 'tiba', 'mati', 'lampu', 'ini', 'rupanya', 'penyebab', 'nya']","['gua', 'berak', 'tiba', 'mati', 'lampu', 'rupanya', 'penyebab']","['gua', 'berak', 'tiba', 'mati', 'lampu', 'rupa', 'sebab']",gua berak tiba mati lampu rupa sebab
cis dulu yg nge cas hp lewat speaker 🥰,Percakapan Biasa,Tidak Berisiko,cis dulu yg nge cas hp lewat speaker 🥰,"['cis', 'dulu', 'yg', 'nge', 'cas', 'hp', 'lewat', 'speaker']","['cis', 'dulu', 'nge', 'cas', 'hp', 'lewat', 'speaker']","['cis', 'dulu', 'nge', 'cas', 'hp', 'lewat', 'speaker']",cis dulu nge cas hp lewat speaker
@Indah pantes tempat kita hujan matahari nya lagi rapat klarifikasi,Jadwal & Kegiatan,Tidak Berisiko,@indah pantes tempat kita hujan matahari nya lagi rapat klarifikasi,"['indah', 'pantes', 'tempat', 'kita', 'hujan', 'matahari', 'nya', 'lagi', 'rapat', 'klarifikasi']","['indah', 'pantes', 'tempat', 'hujan', 'matahari', 'rapat', 'klarifikasi']","['indah', 'pantes', 'tempat', 'hujan', 'matahari', 'rapat', 'klarifikasi']",indah pantes tempat hujan matahari rapat klarifikasi
berapa hari perbaikan nya,Percakapan Biasa,Tidak Berisiko,berapa hari perbaikan nya,"['berapa', 'hari', 'perbaikan', 'nya']","['berapa', 'hari', 'perbaikan']","['berapa', 'hari', 'baik']",berapa hari baik
untuk bulan ni pre ngk byr bulanan,Percakapan Biasa,Tidak Berisiko,untuk bulan ni pre ngk byr bulanan,"['untuk', 'bulan', 'ni', 'pre', 'ngk', 'byr', 'bulanan']","['bulan', 'ni', 'pre', 'ngk', 'byr', 'bulanan']","['bulan', 'ni', 'pre', 'ngk', 'byr', 'bulan']",bulan ni pre ngk byr bulan
ndehh,Percakapan Biasa,Tidak Berisiko,ndehh,['ndehh'],['ndehh'],['ndehh'],ndehh
selain ke PLN Mobile kemana buat laporan pak ? klo lewat pln mobile suka di batalkan sepihak suka suka nya aja di unit terkait membatalkan sepihak.,Informasi Umum,Tidak Berisiko,selain ke pln mobile kemana buat laporan pak ? klo lewat pln mobile suka di batalkan sepihak suka suka nya aja di unit terkait membatalkan sepihak.,"['selain', 'ke', 'pln', 'mobile', 'kemana', 'buat', 'laporan', 'pak', 'klo', 'lewat', 'pln', 'mobile', 'suka', 'di', 'batalkan', 'sepihak', 'suka', 'suka', 'nya', 'aja', 'di', 'unit', 'terkait', 'membatalkan', 'sepihak']","['pln', 'mobile', 'buat', 'laporan', 'pak', 'lewat', 'pln', 'mobile', 'suka', 'batalkan', 'sepihak', 'suka', 'suka', 'aja', 'unit', 'terkait', 'membatalkan', 'sepihak']","['pln', 'mobile', 'buat', 'lapor', 'pak', 'lewat', 'pln', 'mobile', 'suka', 'batal', 'pihak', 'suka', 'suka', 'aja', 'unit', 'kait', 'batal', 'pihak']",pln mobile buat lapor pak lewat pln mobile suka batal pihak suka suka aja unit kait batal pihak
aku maafin pak tapi semoga listrik Sumatra cepat pulih,Informasi Umum,Tidak Berisiko,aku maafin pak tapi semoga listrik sumatra cepat pulih,"['aku', 'maafin', 'pak', 'tapi', 'semoga', 'listrik', 'sumatra', 'cepat', 'pulih']","['aku', 'maafin', 'pak', 'semoga', 'listrik', 'sumatra', 'cepat', 'pulih']","['aku', 'maafin', 'pak', 'moga', 'listrik', 'sumatra', 'cepat', 'pulih']",aku maafin pak moga listrik sumatra cepat pulih
apakah ini penyebab wifi aku jdi tanda seruu 😅,Percakapan Biasa,Tidak Berisiko,apakah ini penyebab wifi aku jdi tanda seruu 😅,"['apakah', 'ini', 'penyebab', 'wifi', 'aku', 'jdi', 'tanda', 'seruu']","['penyebab', 'wifi', 'aku', 'jdi', 'tanda', 'seruu']","['sebab', 'wifi', 'aku', 'jdi', 'tanda', 'seruu']",sebab wifi aku jdi tanda seruu
kalo 1 kali salah dimaafkan tapi kalo berulang kali nama nya lalai atau kesengajaan,Percakapan Biasa,Tidak Berisiko,kalo 1 kali salah dimaafkan tapi kalo berulang kali nama nya lalai atau kesengajaan,"['kalo', 'kali', 'salah', 'dimaafkan', 'tapi', 'kalo', 'berulang', 'kali', 'nama', 'nya', 'lalai', 'atau', 'kesengajaan']","['kalo', 'kali', 'salah', 'dimaafkan', 'kalo', 'berulang', 'kali', 'nama', 'lalai', 'kesengajaan']","['kalo', 'kali', 'salah', 'maaf', 'kalo', 'ulang', 'kali', 'nama', 'lalai', 'sengaja']",kalo kali salah maaf kalo ulang kali nama lalai sengaja
gak dmaafkan,Percakapan Biasa,Tidak Berisiko,gak dmaafkan,"['gak', 'dmaafkan']",['dmaafkan'],['dmaafkan'],dmaafkan
bayar g boleh telat anj giliran gini cuma minta maaf,Transaksi Aman,Tidak Berisiko,bayar g boleh telat anj giliran gini cuma minta maaf,"['bayar', 'g', 'boleh', 'telat', 'anj', 'giliran', 'gini', 'cuma', 'minta', 'maaf']","['bayar', 'telat', 'anj', 'giliran', 'gini', 'cuma', 'minta', 'maaf']","['bayar', 'telat', 'anj', 'gilir', 'gin', 'cuma', 'minta', 'maaf']",bayar telat anj gilir gin cuma minta maaf
Dibayar berapa? 🗿 Rusak apa di sengaja.,Percakapan Biasa,Tidak Berisiko,dibayar berapa? 🗿 rusak apa di sengaja.,"['dibayar', 'berapa', 'rusak', 'apa', 'di', 'sengaja']","['dibayar', 'berapa', 'rusak', 'apa', 'sengaja']","['bayar', 'berapa', 'rusak', 'apa', 'sengaja']",bayar berapa rusak apa sengaja
"sungguh terlalu itu mah mti lamu sehari semalam...paling lama nya juga 2 jam
enak banget minta maap nya
coba kita byr telat ga bakal bisa minta maap lah
pasti hrs byr",Percakapan Biasa,Tidak Berisiko,"sungguh terlalu itu mah mti lamu sehari semalam...paling lama nya juga 2 jam
enak banget minta maap nya
coba kita byr telat ga bakal bisa minta maap lah
pasti hrs byr","['sungguh', 'terlalu', 'itu', 'mah', 'mti', 'lamu', 'sehari', 'semalam', 'paling', 'lama', 'nya', 'juga', 'jam', 'enak', 'banget', 'minta', 'maap', 'nya', 'coba', 'kita', 'byr', 'telat', 'ga', 'bakal', 'bisa', 'minta', 'maap', 'lah', 'pasti', 'hrs', 'byr']","['sungguh', 'terlalu', 'mah', 'mti', 'lamu', 'sehari', 'semalam', 'paling', 'lama', 'jam', 'enak', 'banget', 'minta', 'maap', 'coba', 'byr', 'telat', 'bakal', 'minta', 'maap', 'hrs', 'byr']","['sungguh', 'terlalu', 'mah', 'mti', 'lamu', 'hari', 'malam', 'paling', 'lama', 'jam', 'enak', 'banget', 'minta', 'maap', 'coba', 'byr', 'telat', 'bakal', 'minta', 'maap', 'hrs', 'byr']",sungguh terlalu mah mti lamu hari malam paling lama jam enak banget minta maap coba byr telat bakal minta maap hrs byr
hrs da kompensasi lah...jgn cuma mnta maf doank,Percakapan Biasa,Tidak Berisiko,hrs da kompensasi lah...jgn cuma mnta maf doank,"['hrs', 'da', 'kompensasi', 'lah', 'jgn', 'cuma', 'mnta', 'maf', 'doank']","['hrs', 'da', 'kompensasi', 'jgn', 'cuma', 'mnta', 'maf', 'doank']","['hrs', 'da', 'kompensasi', 'jgn', 'cuma', 'mnta', 'maf', 'doank']",hrs da kompensasi jgn cuma mnta maf doank
koq sumsel gk di sbt pak,Percakapan Biasa,Tidak Berisiko,koq sumsel gk di sbt pak,"['koq', 'sumsel', 'gk', 'di', 'sbt', 'pak']","['koq', 'sumsel', 'gk', 'sbt', 'pak']","['koq', 'sumsel', 'gk', 'sbt', 'pak']",koq sumsel gk sbt pak
"pak pak. semua anda yg punya kuasa dan pegang bahasa pak, kami org kecil bisa apa lah pak",Percakapan Biasa,Tidak Berisiko,"pak pak. semua anda yg punya kuasa dan pegang bahasa pak, kami org kecil bisa apa lah pak","['pak', 'pak', 'semua', 'anda', 'yg', 'punya', 'kuasa', 'dan', 'pegang', 'bahasa', 'pak', 'kami', 'org', 'kecil', 'bisa', 'apa', 'lah', 'pak']","['pak', 'pak', 'semua', 'punya', 'kuasa', 'pegang', 'bahasa', 'pak', 'org', 'kecil', 'apa', 'pak']","['pak', 'pak', 'semua', 'punya', 'kuasa', 'pegang', 'bahasa', 'pak', 'org', 'kecil', 'apa', 'pak']",pak pak semua punya kuasa pegang bahasa pak org kecil apa pak
mls ga mood sampe besyek aku,Percakapan Biasa,Tidak Berisiko,mls ga mood sampe besyek aku,"['mls', 'ga', 'mood', 'sampe', 'besyek', 'aku']","['mls', 'mood', 'sampe', 'besyek', 'aku']","['mls', 'mood', 'sampe', 'besyek', 'aku']",mls mood sampe besyek aku
